,product,issue,count
0,Vehicle loan or lease,Managing the loan or lease,5381
1,Student loan,Dealing with my lender or servicer,17630
2,Prepaid card,Unauthorized transactions/trans. issues,1325
3,"Payday loan, title loan, or personal loan",Charged fees or interest you didn't expect,3126
4,Other financial service,Fraud or scam,379
5,Mortgage,"Loan modification,collection,foreclosure",112309
6,"Money transfer, virtual currency, or money service",Fraud or scam,5987
7,Debt collection,Cont'd attempts collect debt not owed,60682
8,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,191833
9,Credit card or prepaid card,Problem with a purchase shown on your statement,15768
10,Consumer Loan,Managing the loan or lease,15283
11,Checking or savings account,Managing an account,34895
12,Bank account or service,"Account opening, closing, or management",37961
