,state,complaint_count,full_name,population,complaints_per_100k
0,AK,1531,Alaska,732673,208.96
1,AL,17401,Alabama,5074300,342.92
2,AR,7150,Arkansas,3045640,234.76
3,AZ,30622,Arizona,7359200,416.11
4,CA,199148,California,39029300,510.25
5,CO,22917,Colorado,5839930,392.42
6,CT,16089,Connecticut,3626210,443.69
7,DE,6929,Delaware,1018400,680.38
8,FL,150693,Florida,22244800,677.43
9,GA,78458,Georgia,10912900,718.95
10,HI,4456,Hawá,1441553,309.11
11,IA,5632,Iowa,3200520,175.97
12,ID,4309,Idaho,1939030,222.22
13,IL,56426,Illinois,12582000,448.47
14,IN,16218,Indiana,6833040,237.35
15,KS,6961,Kansas,2937150,237.0
16,KY,10005,Kentucky,4512310,221.73
17,LA,18192,Luisiana,4590240,396.32
18,MA,25579,Massachusetts,6981970,366.36
19,MD,40484,Maryland,6164660,656.71
20,ME,3883,Maine,1385340,280.29
21,MI,34102,Míchiga,10034100,339.86
22,MN,15026,Minnesota,5717180,262.82
23,MO,20971,Misuri,6177960,339.45
24,MS,8485,Misisipi,2940060,288.6
25,MT,2236,Montana,1122870,199.13
26,NC,45388,Carolina del Norte,10699000,424.23
27,ND,1383,Dakota del Norte,779261,177.48
28,NE,3975,Nebraska,1967920,201.99
29,NH,5232,Nuevo Hampshire,1395230,374.99
30,NJ,53688,Nueva Jersey,9261700,579.68
31,NM,6239,Nuevo Méxic,2113340,295.22
32,NV,19236,Nevada,3177770,605.33
33,NY,100533,Nueva York,19677200,510.91
34,OH,43494,Ohio,11756100,369.97
35,OK,9027,Oklahoma,4019800,224.56
36,OR,14276,Oregó,4240140,336.69
37,PA,50340,Pensilvania,12972000,388.07
38,RI,4147,Rhode Island,1093730,379.16
39,SC,22641,Carolina del Sur,5282630,428.59
40,SD,1691,Dakota del Sur,909824,185.86
41,TN,24249,Tennessee,7051340,343.89
42,TX,124985,Texas,30029600,416.21
43,UT,9730,Utah,3380800,287.8
44,VA,41649,Virginia,8683620,479.63
45,VT,1834,Vermont,647064,283.43
46,WA,27129,Washington,7785790,348.44
47,WI,14715,Wisconsin,5892540,249.72
48,WV,3379,Virginia Occidental,1775160,190.35
49,WY,1340,Wyoming,581381,230.49
